K,rho,r_50,r_75,r_95
4,0.73,2.14949910659048,2.61094324174256,3.37586759108592
4,0.74,2.07815440463053,2.52460222972814,3.26410110284963
4,0.75,2.0049687324121,2.43608641014869,3.14969498964475
4,0.76,1.93240134239781,2.34821347396032,3.03440131274424
4,0.77,1.85808638640125,2.25827139893326,2.91821968737463
4,0.78,1.78429630626655,2.16764280125212,2.80258902287192
4,0.79,1.70885257486232,2.07749597294319,2.68456697937782
4,0.8,1.63286835576792,1.98544011550228,2.56565559660722
4,0.81,1.55726773408508,1.89269745641309,2.44710352874197
4,0.82,1.48015555462948,1.80027388080239,2.32634827441276
4,0.83,1.403332233169,1.70610287379206,2.2047022405491
4,0.84,1.32509251337568,1.61124474391388,2.08216500292255
4,0.85,1.24631318412899,1.51654145175672,1.95972845548342
4,0.86,1.16767950394601,1.42025380699072,1.83534273767508
4,0.87,1.08777332158562,1.3232786783979,1.710064314169
4,0.88,1.00732802694906,1.22561598826892,1.58548826742957
4,0.89,0.926884042185825,1.12726565460066,1.45829228914295
4,0.9,0.845312510390859,1.02879294200832,1.33086893326096
4,0.91,0.763645469259376,0.92901120297181,1.2024192028098
4,0.92,0.681342489705941,0.828541397616544,1.07347769752204
4,0.93,0.598057671181626,0.727780903998947,0.94290573715613
4,0.94,0.514531147958048,0.626219607978942,0.81130381518437
4,0.95,0.430368217846845,0.523572014900482,0.678334217292678
4,0.96,0.345568670054743,0.42046383756333,0.544735847459027
4,0.97,0.259983318650726,0.316553177990307,0.410104374403608
4,0.98,0.173959404340913,0.211724923937428,0.274303363962912
4,0.99,0.087248589437197,0.106207238845169,0.137737587129696
5,0,5.10746857713662,6.21023261617719,8.07114455532882
5,0.01,5.07418066586404,6.17050526991501,8.01448912646121
5,0.02,5.04396591336155,6.1302891458175,7.96193160563296
5,0.03,5.01329315070012,6.08958596136338,7.90416855249767
5,0.04,4.98216373460485,6.04839739495939,7.85042240801182
5,0.05,4.94720760707803,6.00672508719678,7.79155985332475
5,0.06,4.91520101498464,5.96457064205565,7.73217231975233
5,0.07,4.88274174823703,5.92193562805973,7.6766782562262
5,0.08,4.84983104312133,5.87882157938405,7.62057691445103
5,0.09,4.81322954867184,5.83522999691799,7.56386986822811
5,0.1,4.77945209967031,5.79481362589219,7.50226974083487
5,0.11,4.7452268480145,5.75023401153723,7.44439863227147
5,0.12,4.707413713128,5.70518108427457,7.38592645428669
5,0.13,4.67232900272406,5.65965622257449,7.32269584243195
5,0.14,4.63679989407742,5.61366077632177,7.26306892974877
5,0.15,4.60082744584088,5.57066114888868,7.20284527786775
5,0.16,4.56441269449193,5.52369066665378,7.14605523948309
5,0.17,4.52755665497823,5.4762533985399,7.08061308188327
5,0.18,4.4902603213388,5.42835058898651,7.01860712761754
5,0.19,4.4496160595407,5.3799834577163,6.95600961550101
